Column2,Column3,Column6,Column8,Column17,Column85,Column154,Column155,Column156,90Days,30Days
P00140,P00140_StockListMaker,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,19500,,X,Weekly,22853,7777
P00228_01,P00228_01_SPS Setting,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,1300,,,< 1 Week,25025,4163
P00269_01,P00269_01_GeneralQueryToolDownload,Go-live / リリース済・本番稼働中,Common / 共通,FRJP,1500,,,,16773,3794
P00116_03,P00116_03_InternalOrder,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,0,X,,< 1 Day,6535,3128
P00204,P00204_Store Transaction Journal Posting & Bank Reconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,451.2,,X,Monthly,10389,2823
P00250_03,P00250_03_PrintSalesSum,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,,,X,Daily,6765,2404
P00274,P00274_SV_Store_Visit_Report_Monitor,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,1664,,,,6298,1889
P00220,P00220_Bank_Statement_Download,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,1128,,X,Monthly,8514,1445
P00203,P00203_Bank Slip Download,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,2070,,X,Daily,3793,1190
P00145_01,P00145_01_CostManagimentSheetRegister,Go-live / リリース済・本番稼働中,Manufacturing / 生産,FRJP,900,,X,< 15 Minutes,3564,1145
P00230_01,P00230_01_MV_Analysis_DailyReport_A,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,688,,X,Daily,2513,1095
P00239_01,P00239_01_Abnormal Leave Management Weekly,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,4300,,,,3886,1051
P00230_02,P00230_02_MV_Analysis_DailyReport_B,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Daily,2460,990
P00232_02,P00232_02_ColorSize_Report_Automation_2,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,1590,657
P00019_03,P00019_03_CreateActualSalesWeeklyReport_SKU,Go-live / リリース済・本番稼働中,EC,FRJP,0,,X,Weekly,898,639
P00075,P00075_CreateOrderProgressFile,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,780,X,,< 1 Week,1428,585
P00006,P00006_SampleCodeGeneration,Go-live / リリース済・本番稼働中,Manufacturing / 生産,FRJP,1200,,X,Hourly,1179,573
P00091,P00091_NoticeNextOrderQty,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,1135,X,,< 1 Day,1807,572
P00108,P00108_CareLabel,Go-live / リリース済・本番稼働中,Manufacturing / 生産,FRJP,1040,,X,Daily,1017,444
P00168_02,P00168_02_SendInfomationOfPLAndKPI,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,0,,X,Weekly,490,307
P00282,P00282AR_,Go-live / リリース済・本番稼働中,,FRJP,0,X,,,841,296
P00175_02,P00175_02_ICAR_RechargeAndReconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,535,260
P00013,P00013_GSD_System Privileges_Customer Digital,Go-live / リリース済・本番稼働中,IT,FRJP,990,X,,< 1 Day,677,259
P00232_03,P00232_03_ColorSize_Report_Automation_A,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,401,305
P00232_08,P00232_08_ColorSize_Report_Automation_F,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,328,195
P00180,P00180_CreateSKUReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,728,,X,Weekly,403,192
P00200_01,P00200_01_EC_Report,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,630,184
P00232_11,P00232_11_ColorSize_Report_Automation_I,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,311,180
P00232_10,P00232_10_ColorSize_Report_Automation_H,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,275,169
P00232_04,P00232_04_ColorSize_Report_Automation_B,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,296,165
P00232_05,P00232_05_ColorSize_Report_Automation_C,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,323,165
P00232_06,P00232_06_ColorSize_Report_Automation_D,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,297,165
P00232_12,P00232_12_ColorSize_Report_Automation_J,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,260,165
P00157,P00157_CreateSKUShortageRateForm,Go-live / リリース済・本番稼働中,EC,FRJP,2736,,X,< 1 Day,471,164
P00165_01,P00165_01_CreateEndStockList,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,556,,X,< 1 Week,587,162
P00283,P00283_TW_DL_Sheet,Go-live / リリース済・本番稼働中,EC,FRCN,180,,X,Daily,525,162
P00232_07,P00232_07_ColorSize_Report_Automation_E,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,250,153
P00232_09,P00232_09_ColorSize_Report_Automation_G,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,255,152
P00223,P00223_Abnormal attendance data analysis & Notification(weekly),Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,259,,X,Weekly,292,149
P00133,P00133_OverseasReserveRatioMonitor,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,6240,,X,Weekly,391,136
P00225,P00225_TaxInvoice,Go-live / リリース済・本番稼働中,IT,FRJP,2190,,X,Minutes,234,127
P00278,P00278_TableauOfficialPlanDL,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,"1,560",,X,Daily,400,127
P00209_01,P00209_01_GU_自動発注,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,780,,,,364,124
P00017_04,P00017_04_LogisticsKPI_CaluculateKPI,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Week,317,118
P00112_03,P00112_03_MakeAuditRecord,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,4600,,X,< 1 Week,407,188
P00245_06,P00245_06_Z-System_Loss&HR_Sharefolder,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,190,163
P00245_04,P00245_04_Z-System_Umix&CRM,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,275,158
P00165_02,P00165_02_CreateEndStockList,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,556,,X,< 1 Week,1400,100
P00112_04,P00112_04_UpdataAuditRecord,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,4600,,X,< 1 Week,531,176
P00200_02,P00200_02_EC_Report,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,280,91
P00023_01,P00023_01_ComplianceManagement,Go-live / リリース済・本番稼働中,Legal / 法務,FRJP,288,X,,< 1 Hour,359,88
P00222,P00222_Maternity leave setup (Manual),Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,0,X,,,3070,86
P00084,P00084_BudgetActualAnalysis,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,753,,X,Monthly,93,85
P00166,P00166_FCStore,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,936,X,,< 1 Month,241,84
P00159,P00159_PLSTCentricMatchingOfficialData,Go-live / リリース済・本番稼働中,IT,FRJP,1000,,X,Weekly,196,78
P00038_01,P00038_01_UpdateRequest_DigitalSinage,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,1952,X,,< 1 Day,157,69
P00144_01,P00144_01_OrderExecution,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,FRJP,1462,,X,Daily,161,69
P00144_01,P00144_01_OrderExecution,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,3724,,X,< 1 Day,161,69
P00207,P00207_Maternity Leave Notification & Set up,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,842,,X,Weekly,872,90
P00253_01,P00253_01_EC_Omni-channel Sales Report_Weekly,Go-live / リリース済・本番稼働中,EC,FRCN,208.5,,,,209,68
P00017_02,P00017_02_LogisticsKPI_IMS,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Day,206,102
P00058,P00058_StoreLoss,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,2285,X,,< 1 Month,1004,63
P00268,P00268_GUInventorySendMail,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,X,Daily,124,63
P00037,P00037_Service Desk Operation (Email_Email Group_Add or remove members),Go-live / リリース済・本番稼働中,IT,FRJP,1150,X,,,131,62
P00112_02,P00112_02_MakeRiskDeterminationByStore,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,4600,,X,< 1 Week,207,82
P00018_02,P00018_02_FixLogisticsActualCost_DownloadSAP,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,960,X,,< 1 Month,192,61
P00185,P00185_BudgetRegistration,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,5652,X,,< 1 Month,122,60
P00200_03,P00200_03_EC_Report,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,122,60
P00018_03,P00018_03_FixLogisticActualCost_CreateDetailCost,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,960,X,,< 1 Month,291,86
P00136_02,P00136_02_StoreProductStockout_PrepareRequestMail,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 1 Day,119,56
P00250_02,P00250_02_DownloadWeeklyPrintableFormByPlanningSum,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,,,X,Daily,134,55
P00208,P00208_Abnormal Attendance Data Analysis & Notification,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,65,,X,Monthly,55,51
P00099_02,P00099_02_AlteredClothesOutsourcing,Go-live / リリース済・本番稼働中,EC,FRJP,1080,X,,< 1 Day,163,46
P00109_01,P00109_01_AnswerLabPost,Go-live / リリース済・本番稼働中,FRMIC,FRJP,530,X,,< 1 Week,103,45
P00162_01,P00162_01_ContractRenewalOfFixedTermEmployees,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,1722,X,,< 1 Month,60,45
P00245_07,P00245_07_Z-System_Reporting&WPS_Lastyear,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,125,71
P00002_01,P00002_01_QueryTool_Download,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,2140,,X,< 1 Day,79,44
P00002_02,P00002_02_JmupsQuery_ConfirmCreditCardSales,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,,X,< 1 Day,80,42
P00247,P00247_PL_Store_Automation,Go-live / リリース済・本番稼働中,BPR / 事業構造改革,FRCN,4972,,,,483,41
P00245_09,P00245_09_Z-System_Reporting&BSM,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,110,50
P00112_01,P00112_01_MakeBaseData,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,4725,,X,< 1 Week,125,74
P00285,P00285_RPA_CO_SKU_History,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,112.9,,,,84,37
P00017_01,P00017_01_LogisticsKPI_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Week,112,34
P00195,P00195_SalesPlanConfirmMeetingReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,1347,,X,Daily,90,32
P00196,P00196_WeeklySalesTopReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,0,,X,Daily,90,32
P00197,P00197_MonthlySalesTopReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,0,,X,Daily,92,32
P00237,P00237_ADC_DC_Inventory_Report_Download,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,201,,,,77,34
P00242_01,P00242_01_Daily_Sales_Reconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,372,,X,Daily,100,32
P00271,P00271_GU_PODeadLineReport,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,GUJP,0,,X,Weekly,127,32
P00286,P00286_RPA_Item_History,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,225.79,,,,77,32
P00012_01,P00012_1_DV_SapCashVerification,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,106,31
P00099_01,P00099_01_AlteredClothesShippingPlanning,Go-live / リリース済・本番稼働中,EC,FRJP,1134,,X,Daily,91,31
P00254_01,P00254_01_RPA_Assort_Master,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,271.8,,,,74,32
P00254_02,P00254_02_RPA_ArrivalTo_Warehouse_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,135.9,,,,75,32
P00255,P00255_RPA_TSF,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,203.8,,,,79,31
P00017_03,P00017_03_LogisticsKPI_DC,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Week,89,30
P00277_02,P00277_02_GU_AutoUpgrade,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,,,90,30
P00093_02,P00093_02_FixLogisticsActualCost2_DownloadReport,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,,X,< 1 Day,86,29
P00148_06,P00148_06_CreateItemHandbook,Go-live / リリース済・本番稼働中,EC,FRJP,360,,X,Daily,38,30
P00093_01,P00093_01_FixLogisticsActualCost2_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,788,,X,< 1 Day,94,28
P00277_01,P00277_01_GU_AutoUpgrade,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,X,Daily,88,28
P00168_01,P00168_01_SendInfomationOfPLAndKPITemplete,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,1404,X,,< 1 Week,62,27
P00232_01,P00232_01_ColorSize_Report_Automation_1,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,750,,X,Weekly,63,27
P00245_05,P00245_05_Z-System_QueryTool,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,66,39
P00056_04,P00056_04_EmployeeEvalDataCreation_GU,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,,X,< 6 Month,196,26
P00229_01,P00229_01_OOS Report,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,,,26,26
P00100_02,P00100_02_RemindMail,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,,X,< 6 Month,347,25
P00100_03,P00100_03_IntegrationBCA,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 6 Month,378,25
P00245_08,P00245_08_Z-System_HR_Sharefolder,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,51,30
P00027_01,P00027_01_SendIndustrialPhysiciansReportFormat,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,824,X,,< 1 Week,82,24
P00056_03,P00056_03_EmployeeEvalDataCreation_ALBVCP,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,120,,X,< 6 Month,251,24
P00130_01,P00130_01_CreateLessAmountStockRunOut,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,1040,,X,Weekly,60,24
P00175_01,P00175_01_ICAR_Categorization,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,7840,X,,< 1 Month,48,24
P00021_01,P00021_01_EC-MD_ActualResultReportBySKU_ReceivedOrders,Go-live / リリース済・本番稼働中,EC,FRJP,1368,X,,< 1 Week,132,23
P00007_02,P00007_2_SampleMaterialConnection,Go-live / リリース済・本番稼働中,Manufacturing / 生産,FRJP,600,X,,,561,21
P00048_01,P00048_01_MonitorringData_Making,Go-live / リリース済・本番稼働中,EC,FRJP,148,,X,< 1 Day,53,21
P00072,P00072_CustomersSoldNumberAnalysis,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,FRJP,800,,X,Daily,62,21
P00230_03,P00230_03_MV_Analysis_DailyReport_VBA,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Daily,59,23
P00093_05,P00093_05_FixLogisticsActualCost2_Estimate,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,X,,< 1 Month,99,20
P00276_10,P00276_10_GU_Data_Extraction_ARKOfficialPlan,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,52,20
P00152_04,P00152_04_LogisticsTrackingKPI_CalculateKPIFromQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,0,,X,< 1 Day,44,19
P00238_01,P00238_01_Annual_Leave_Expiration_Notification,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,1000,,X,Monthly,35,20
P00138,P00138_SalsePlanReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,1872,,X,Daily,49,17
P00118_01,P00118_01_GDriveCreateFolder,Go-live / リリース済・本番稼働中,Legal / 法務,FRJP,647,,X,< 1 Hour,108,16
P00192,P00192_WeekendBusinessReport,Go-live / リリース済・本番稼働中,IT,FRJP,192,X,,,75,16
P00245_02,P00245_02_Z-System_O2O_Email,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,49,16
P00245_03,P00245_03_Z-System_RFID_Email,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,61,22
P00020,P00020_EC-MD_ActualOrderReport,Go-live / リリース済・本番稼働中,EC,FRJP,1368,,X,Weekly,71,28
P00014_03,P00014_03_CheckFlyerMainProcess,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,46,14
P00276_11,P00276_11_GU_Data_Extraction_PreActualReg,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,33,14
P00014_04,P00014_04_CheckFlyerFinalProduct,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,39,13
P00027_02,P00027_02_ReceiveIndustrialPhysiciansReport,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,0,X,,< 1 Week,41,13
P00149,P00149_CheckFlyerInformation,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,648,X,,< 1 Week,58,13
P00257_02,P00257_02_RPA_fr_AG_weekly_plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,0,,,,32,13
P00276_03,P00276_03_GU_Data_Extraction_OfficialPlan,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,GUJP,0,,,,33,13
P00128_01,P00128_01_UTme_AggregateLicense,Go-live / リリース済・本番稼働中,EC,FRJP,1890,X,,< 1 Month,34,12
P00147,P00147_ItemTransfer,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,525,X,,< 1 Week,33,12
P00226_01,P00226_01_Income&Inventory_Analysis_WeeklyReport_A,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,260,,X,Weekly,30,12
P00226_02,P00226_02_Income&Inventory_Analysis_WeeklyReport_B,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,30,12
P00245_01,P00245_01_Z-System_Reporting,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,250,,,,54,15
P00253_02,P00253_02_EC_Omni-channel Sales Report_Daily,Go-live / リリース済・本番稼働中,EC,FRCN,180,,,,57,12
P00276_12,P00276_12_GU_Data_Extraction_DLSheet,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,39,12
P00176,P00176_ForcastByBizByDeptReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,416,,X,Weekly,25,11
P00257_01,P00257_01_RPA_fr_AS_weekly_plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,244.6,,,,31,11
P00258_01,P00258_01_RPA_MD_Sls_Sum_Weekly_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,407.7,,,,17,11
P00025_02,P00025_02_MedicalCheckupReport,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,0,X,,< 6 Month,17,10
P00172,P00172_OutputInventoryForecast,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,182,,X,< 1 Week,34,10
P00198,P00198_FutureSumUpSingle,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,997,,,< 1 Week,10,10
P00052,P00052_AxAllocationUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,739,X,,< 1 Month,19,9
P00131_02,P00131_02_SendMailToFlyerSupplier,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,0,X,,,25,9
P00227_01,P00227_01_OutputSCMForecast_TotalStock,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,0,,X,< 1 Week,29,9
P00244,P00244_Custom-made_SalesPerformanceManagement,Go-live / リリース済・本番稼働中,EC,FRJP,336,,X,Weekly,66,9
P00258_02,P00258_02_RPA_MD_Pln_Sum_Weekly_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,0,,,,23,9
